Derby Day,AO4024DD,
Addams Family,24277,
Carom,?,
Godzilla,362497C,
Gorgar,368844,"Bought this from Matt Christiano circa May 2024 for $2k, including an NOS playfield. Not known to work."
Hokus Pokus,2822,Bought 8/24/23 from Chuck in Pleasanton
Hyperball,560974,- Acquired for $800 from Jim Lewandowski of Riveriew IL on [[2024-12-19 Thursday]] - When purchased was in working shape with a couple of minor issues (sensors in top right)
RotoPool,87338RP,
Teacher's Pet,34484,
Ballyhoo,,
Baseball,24284,
Hulk,,
Star Trek,,
The Getaway: High Speed 2,,
Star Trip,,
Eight Ball Deluxe Limited Edition,E8B1147,
Trade Winds,2450,Purchased June 2025 from a guy on FB Marketplace. It's a conversion of the 1941 Sky Blazer and the serial number is from there.